date,city,temperature,humidity,pressure,wind_speed,rainfall,weather_condition
2023-02-15,Jaipur,24.0,80,985,10.1,31.7,Cloudy
2023-02-16,Ahmedabad,17.9,99,986,1.0,30.9,Foggy
2023-02-17,Ahmedabad,40.3,61,999,6.1,2.0,Sunny
2023-02-18,Jaipur,29.6,91,1004,22.9,172.2,Stormy
2023-02-19,Hyderabad,23.5,22,1032,22.3,46.1,Foggy
2023-02-20,Delhi,17.3,53,1030,13.1,19.9,Cloudy
2023-02-21,Pune,35.4,79,1039,17.7,76.7,Cloudy
2023-02-22,Ahmedabad,15.7,27,1000,16.4,95.3,Rainy
2023-02-23,Delhi,20.3,84,1022,12.7,115.1,Cloudy
2023-02-24,Kolkata,28.8,85,992,8.6,25.4,Sunny
2023-02-25,Pune,15.8,24,1030,18.0,120.3,Foggy
2023-02-26,Bangalore,39.5,85,1035,20.6,43.4,Foggy
2023-02-27,Jaipur,34.6,20,1047,0.9,67.1,Foggy
2023-02-28,Bangalore,40.0,53,1036,9.7,125.2,Cloudy
2023-03-01,Ahmedabad,44.2,60,998,15.0,114.6,Cloudy
2023-03-02,Kolkata,25.8,53,1032,4.3,163.8,Foggy
2023-03-03,Ahmedabad,17.5,81,986,15.5,136.1,Foggy
2023-03-04,Hyderabad,25.1,82,980,21.7,95.5,Cloudy
2023-03-05,Pune,44.6,65,1018,9.6,2.7,Stormy
2023-03-06,Nagpur,18.5,41,1015,22.1,1.4,Cloudy
2023-03-07,Kolkata,38.8,61,1001,13.4,73.7,Cloudy
2023-03-08,Chennai,25.9,76,1006,24.2,184.2,Sunny
2023-03-09,Kolkata,42.0,23,1001,6.5,65.4,Rainy
2023-03-10,Jaipur,40.7,82,1017,3.5,171.5,Sunny
2023-03-11,Chennai,22.8,22,1010,6.6,20.3,Foggy
2023-03-12,Delhi,15.8,88,1023,9.3,153.6,Sunny
2023-03-13,Ahmedabad,39.6,64,1014,9.9,94.3,Foggy
2023-03-14,Pune,20.0,93,1045,6.1,140.8,Sunny
2023-03-15,Kolkata,19.9,77,996,20.0,25.7,Foggy
2023-03-16,Kolkata,31.7,81,1005,18.6,51.2,Stormy
2023-03-17,Chennai,15.7,75,1045,19.2,156.8,Stormy
2023-03-18,Chennai,25.5,46,1035,18.9,30.4,Stormy
2023-03-19,Chennai,41.8,80,1024,12.4,9.9,Foggy
2023-03-20,Pune,36.1,94,1003,24.9,180.9,Rainy
2023-03-21,Chennai,21.5,42,991,1.8,46.4,Stormy
2023-03-22,Delhi,40.2,91,1021,0.6,101.3,Rainy
2023-03-23,Bangalore,30.8,53,989,17.4,166.3,Sunny
2023-03-24,Jaipur,42.8,60,1044,5.2,5.8,Stormy
2023-03-25,Pune,30.5,88,1045,7.8,101.7,Stormy
2023-03-26,Jaipur,34.7,82,1037,0.5,83.5,Stormy
2023-03-27,Kolkata,41.0,70,1021,17.1,26.1,Cloudy
2023-03-28,Pune,44.4,62,1016,1.7,72.4,Cloudy
2023-03-29,Chennai,32.2,46,1000,7.7,85.3,Cloudy
2023-03-30,Ahmedabad,32.1,36,996,6.3,108.1,Stormy
2023-03-31,Delhi,35.8,24,1019,22.0,13.1,Foggy
2023-04-01,Jaipur,35.4,84,1013,13.3,164.0,Rainy
2023-04-02,Chennai,22.0,38,1020,8.8,188.9,Foggy
2023-04-03,Delhi,17.9,51,1034,9.3,172.5,Foggy
2023-04-04,Hyderabad,44.3,37,989,11.1,89.4,Stormy
2023-04-05,Hyderabad,31.5,40,1036,18.1,156.6,Foggy
2023-04-06,Delhi,19.2,54,1034,10.6,167.3,Stormy
2023-04-07,Mumbai,25.7,30,1050,2.9,107.0,Stormy
2023-04-08,Kolkata,44.1,69,1015,13.3,125.4,Stormy
2023-04-09,Ahmedabad,35.1,29,1018,2.9,53.8,Stormy
2023-04-10,Jaipur,37.1,98,1031,0.0,59.7,Cloudy
2023-04-11,Hyderabad,18.2,67,1002,7.2,136.1,Foggy
2023-04-12,Jaipur,31.1,74,1005,23.1,22.6,Rainy
2023-04-13,Kolkata,29.0,23,1050,5.0,92.2,Sunny
2023-04-14,Hyderabad,22.0,52,1042,0.5,64.9,Cloudy
2023-04-15,Bangalore,43.4,22,981,11.3,85.0,Stormy
2023-04-16,Bangalore,44.8,33,1029,14.2,8.0,Cloudy
2023-04-17,Delhi,41.4,88,1049,6.5,188.2,Sunny
2023-04-18,Chennai,31.5,71,996,9.9,15.9,Rainy
2023-04-19,Kolkata,36.0,94,1029,0.8,198.7,Cloudy
2023-04-20,Mumbai,26.6,81,1019,13.2,77.7,Sunny
2023-04-21,Nagpur,22.6,87,1012,9.7,89.4,Cloudy
2023-04-22,Bangalore,20.8,32,1039,13.7,25.3,Cloudy
2023-04-23,Pune,44.6,25,1009,24.1,35.5,Foggy
2023-04-24,Nagpur,39.9,74,1020,7.0,112.5,Rainy
2023-04-25,Kolkata,40.1,44,988,3.3,5.2,Sunny
2023-04-26,Hyderabad,21.4,36,985,7.0,155.2,Foggy
2023-04-27,Kolkata,22.3,34,981,22.7,112.0,Foggy
2023-04-28,Nagpur,16.5,85,1035,22.6,165.8,Cloudy
2023-04-29,Hyderabad,42.6,90,997,22.5,97.8,Foggy
2023-04-30,Bangalore,29.1,95,984,19.4,36.9,Rainy
2023-05-01,Chennai,35.2,22,1007,9.2,101.3,Stormy
2023-05-02,Pune,35.6,71,987,12.0,62.8,Foggy
2023-05-03,Chennai,15.5,29,1014,17.1,39.7,Sunny
2023-05-04,Delhi,33.2,67,1024,21.9,108.4,Cloudy
2023-05-05,Delhi,35.3,21,984,7.7,47.5,Sunny
2023-05-06,Pune,31.2,92,1035,8.6,106.9,Stormy
2023-05-07,Pune,39.1,63,1023,8.7,98.4,Foggy
2023-05-08,Chennai,16.2,91,1024,11.5,73.3,Foggy
2023-05-09,Bangalore,20.7,84,1002,17.4,49.8,Cloudy
2023-05-10,Hyderabad,30.5,27,1023,22.6,174.6,Cloudy
2023-05-11,Delhi,30.2,46,1003,7.1,181.3,Cloudy
2023-05-12,Pune,24.3,48,992,4.3,136.0,Sunny
2023-05-13,Kolkata,45.0,62,994,18.3,150.1,Cloudy
2023-05-14,Ahmedabad,41.8,20,1019,14.1,27.0,Rainy
2023-05-15,Delhi,37.6,100,992,15.2,110.6,Rainy
2023-05-16,Delhi,19.5,79,1049,15.8,40.4,Cloudy
2023-05-17,Chennai,16.7,50,1013,14.3,148.8,Rainy
2023-05-18,Hyderabad,43.9,85,1000,6.5,1.8,Stormy
2023-05-19,Hyderabad,20.3,41,1040,19.3,7.7,Rainy
2023-05-20,Pune,28.8,30,1030,20.1,24.5,Sunny
2023-05-21,Chennai,29.9,25,1041,18.7,199.2,Sunny
2023-05-22,Pune,17.7,24,1048,4.8,44.2,Foggy
2023-05-23,Hyderabad,16.0,28,1014,23.6,53.2,Rainy
2023-05-24,Jaipur,16.6,68,1009,24.9,103.1,Rainy
2023-05-25,Jaipur,31.9,52,984,6.5,82.1,Stormy
2023-05-26,Hyderabad,32.3,69,1028,8.9,6.2,Foggy
2023-05-27,Hyderabad,23.8,45,1043,18.0,45.3,Stormy
2023-05-28,Chennai,29.2,85,1027,10.4,41.6,Foggy
2023-05-29,Kolkata,38.0,80,1014,21.1,154.7,Rainy
2023-05-30,Hyderabad,38.3,74,1009,2.8,186.7,Sunny
2023-05-31,Mumbai,43.7,40,1046,1.6,19.7,Foggy
2023-06-01,Bangalore,31.8,53,1027,12.0,15.2,Sunny
2023-06-02,Bangalore,33.2,68,1029,12.1,16.6,Sunny
2023-06-03,Bangalore,30.2,48,1041,23.2,126.8,Sunny
2023-06-04,Nagpur,18.3,90,1015,0.8,150.9,Cloudy
2023-06-05,Kolkata,37.9,70,1044,11.9,114.8,Sunny
2023-06-06,Bangalore,31.8,65,1001,18.8,76.7,Cloudy
2023-06-07,Delhi,39.6,82,1034,13.6,5.9,Cloudy
2023-06-08,Bangalore,16.1,52,989,5.5,133.6,Stormy
2023-06-09,Delhi,32.8,92,1025,23.3,126.9,Foggy
2023-06-10,Delhi,36.4,73,1041,21.3,0.3,Sunny
2023-06-11,Hyderabad,37.4,78,987,21.1,11.7,Rainy
2023-06-12,Kolkata,43.5,66,1013,19.2,36.0,Rainy
2023-06-13,Hyderabad,40.9,76,1026,10.5,154.6,Cloudy
2023-06-14,Ahmedabad,34.9,47,991,12.4,52.5,Sunny
2023-06-15,Pune,30.6,30,992,6.7,151.9,Foggy
2023-06-16,Ahmedabad,28.6,72,1015,12.3,127.2,Stormy
2023-06-17,Jaipur,36.1,91,1005,20.0,106.7,Stormy
2023-06-18,Ahmedabad,44.1,84,1023,10.2,115.4,Stormy
2023-06-19,Delhi,42.6,46,992,14.1,151.7,Foggy
2023-06-20,Hyderabad,20.0,79,1024,23.1,100.7,Foggy
2023-06-21,Pune,40.2,27,1012,21.7,25.9,Stormy
2023-06-22,Mumbai,44.0,89,1016,4.7,12.3,Rainy
2023-06-23,Bangalore,37.2,98,991,22.5,68.6,Foggy
2023-06-24,Hyderabad,27.2,84,1001,20.0,5.6,Rainy
2023-06-25,Nagpur,34.6,33,1007,5.0,37.0,Rainy
2023-06-26,Ahmedabad,27.1,45,1007,0.4,82.9,Foggy
2023-06-27,Hyderabad,38.2,41,1043,4.3,122.8,Cloudy
2023-06-28,Jaipur,34.7,73,1043,20.1,35.1,Rainy
2023-06-29,Hyderabad,15.3,86,1026,24.2,124.5,Sunny
2023-06-30,Kolkata,22.0,97,1027,5.3,111.2,Rainy
2023-07-01,Mumbai,40.8,47,997,7.5,3.7,Rainy
2023-07-02,Chennai,22.0,59,985,12.5,178.5,Cloudy
2023-07-03,Jaipur,38.9,53,1022,12.3,139.6,Cloudy
2023-07-04,Bangalore,27.7,60,1025,9.8,126.1,Stormy
2023-07-05,Delhi,33.1,91,1005,12.6,15.3,Rainy
2023-07-06,Delhi,21.4,98,990,6.4,53.5,Cloudy
2023-07-07,Nagpur,18.1,57,1007,21.4,80.0,Sunny
2023-07-08,Ahmedabad,17.8,80,1007,15.4,64.5,Rainy
2023-07-09,Jaipur,32.0,68,986,22.3,142.4,Foggy
2023-07-10,Chennai,24.8,87,1024,8.2,34.4,Foggy
2023-07-11,Jaipur,24.9,61,998,13.0,147.7,Sunny
2023-07-12,Hyderabad,42.6,90,1012,17.5,134.1,Cloudy
2023-07-13,Hyderabad,26.2,89,1009,0.5,20.0,Stormy
2023-07-14,Hyderabad,30.4,78,1031,12.7,169.4,Cloudy
2023-07-15,Chennai,20.8,46,1046,10.8,14.6,Cloudy
2023-07-16,Mumbai,42.5,100,991,3.9,85.5,Foggy
2023-07-17,Bangalore,15.1,23,989,11.6,122.7,Rainy
2023-07-18,Nagpur,39.7,57,1048,9.4,134.2,Stormy
2023-07-19,Pune,34.1,57,1049,13.5,159.6,Sunny
2023-07-20,Bangalore,20.0,75,1008,13.1,146.3,Rainy
2023-07-21,Chennai,43.4,81,996,22.5,156.5,Foggy
2023-07-22,Chennai,40.2,75,993,5.2,84.4,Stormy
2023-07-23,Ahmedabad,15.3,46,1036,8.9,48.4,Foggy
2023-07-24,Nagpur,40.8,83,1027,24.9,88.5,Sunny
2023-07-25,Mumbai,31.5,29,983,7.6,11.7,Cloudy
2023-07-26,Bangalore,15.1,29,1035,11.5,13.7,Sunny
2023-07-27,Bangalore,29.0,71,1017,15.5,136.9,Foggy
2023-07-28,Ahmedabad,28.7,43,998,6.1,31.0,Rainy
2023-07-29,Delhi,36.0,39,1007,11.6,68.2,Cloudy
2023-07-30,Pune,18.1,58,986,5.0,51.7,Cloudy
2023-07-31,Ahmedabad,38.0,52,1037,6.5,117.6,Sunny
2023-08-01,Bangalore,24.2,89,981,23.6,30.1,Cloudy
2023-08-02,Chennai,20.0,98,1016,7.3,123.7,Cloudy
2023-08-03,Jaipur,41.9,45,1023,1.6,46.1,Foggy
2023-08-04,Nagpur,43.2,62,995,21.6,25.7,Rainy
2023-08-05,Nagpur,21.9,46,1025,7.5,85.9,Stormy
2023-08-06,Delhi,18.7,63,1013,23.0,83.8,Stormy
2023-08-07,Mumbai,20.4,25,1032,7.5,126.3,Cloudy
2023-08-08,Bangalore,28.4,33,1024,19.2,198.9,Foggy
2023-08-09,Chennai,40.4,41,1037,2.8,9.0,Rainy
2023-08-10,Delhi,21.9,63,993,0.5,147.1,Rainy
2023-08-11,Jaipur,29.2,24,1026,21.4,77.0,Stormy
2023-08-12,Jaipur,39.9,62,1027,18.9,49.0,Foggy
2023-08-13,Bangalore,44.5,23,994,17.7,29.3,Stormy
2023-08-14,Pune,23.3,68,1041,5.5,197.8,Cloudy
2023-08-15,Jaipur,36.5,67,1012,19.3,58.3,Stormy
2023-08-16,Nagpur,31.5,35,1034,12.5,111.4,Cloudy
2023-08-17,Kolkata,31.1,25,985,8.4,25.4,Rainy
2023-08-18,Pune,15.7,69,997,9.3,88.7,Cloudy
2023-08-19,Mumbai,24.8,82,990,10.8,81.3,Sunny
2023-08-20,Delhi,20.1,80,1011,9.1,54.2,Stormy
2023-08-21,Mumbai,19.7,41,1040,16.3,32.4,Cloudy
2023-08-22,Mumbai,17.0,42,991,4.1,140.4,Foggy
2023-08-23,Ahmedabad,19.3,63,1039,9.2,8.5,Sunny
2023-08-24,Bangalore,23.6,72,1030,0.6,34.5,Stormy
2023-08-25,Chennai,18.4,87,1032,19.7,100.2,Cloudy
2023-08-26,Nagpur,31.3,79,1007,17.3,8.8,Foggy
2023-08-27,Pune,41.7,41,1025,12.0,114.6,Sunny
2023-08-28,Nagpur,29.5,34,998,0.9,108.5,Foggy
2023-08-29,Bangalore,23.2,91,1010,12.5,71.3,Sunny
2023-08-30,Bangalore,22.0,87,1033,11.8,108.1,Foggy
2023-08-31,Mumbai,42.0,69,993,18.4,29.7,Cloudy
2023-09-01,Delhi,25.3,44,992,7.3,69.2,Sunny
2023-09-02,Bangalore,20.5,97,999,10.2,181.1,Rainy
2023-09-03,Hyderabad,32.0,66,1014,6.4,191.6,Sunny
2023-09-04,Kolkata,15.2,56,986,9.0,133.5,Cloudy
2023-09-05,Hyderabad,30.2,52,1023,14.3,186.1,Sunny
2023-09-06,Hyderabad,23.0,66,1031,8.7,123.5,Foggy
2023-09-07,Ahmedabad,25.2,93,1028,3.8,124.1,Rainy
2023-09-08,Delhi,43.1,60,1019,24.8,121.9,Stormy
2023-09-09,Pune,21.1,67,987,14.6,191.9,Rainy
2023-09-10,Jaipur,31.6,94,1000,14.5,180.1,Stormy
2023-09-11,Bangalore,32.5,96,992,23.7,77.9,Rainy
2023-09-12,Delhi,27.6,44,1004,16.4,122.0,Sunny
2023-09-13,Nagpur,41.4,62,1008,1.3,176.6,Foggy
2023-09-14,Delhi,34.6,95,986,14.3,30.9,Rainy
2023-09-15,Bangalore,19.7,73,1041,9.4,146.6,Sunny
2023-09-16,Mumbai,16.5,54,1025,14.9,199.8,Foggy
2023-09-17,Pune,19.0,80,988,23.7,162.8,Rainy
2023-09-18,Nagpur,35.8,29,1002,4.2,125.0,Foggy
2023-09-19,Bangalore,18.6,26,1038,8.9,9.7,Sunny
2023-09-20,Pune,37.9,27,1009,9.6,160.2,Foggy
2023-09-21,Kolkata,27.9,39,1041,20.8,59.3,Stormy
2023-09-22,Jaipur,33.7,38,989,7.3,134.5,Rainy
2023-09-23,Kolkata,32.1,25,1016,24.7,128.0,Rainy
2023-09-24,Jaipur,30.5,39,1035,10.1,182.2,Rainy
2023-09-25,Mumbai,29.9,27,1033,10.4,165.0,Foggy
2023-09-26,Delhi,32.1,52,1039,5.0,32.2,Cloudy
2023-09-27,Pune,35.0,95,1009,24.6,1.1,Stormy
2023-09-28,Ahmedabad,20.6,65,1004,3.8,142.3,Cloudy
2023-09-29,Kolkata,44.6,38,1040,11.4,106.0,Foggy
2023-09-30,Hyderabad,33.3,43,1003,3.5,184.2,Foggy
2023-10-01,Chennai,30.6,55,986,16.8,22.1,Rainy
2023-10-02,Delhi,29.8,53,986,14.8,117.2,Sunny
2023-10-03,Ahmedabad,44.7,88,999,15.2,1.7,Rainy
2023-10-04,Nagpur,15.5,98,987,21.7,123.0,Sunny
2023-10-05,Jaipur,26.5,28,1008,1.1,118.0,Rainy
2023-10-06,Kolkata,36.4,86,1036,13.7,192.0,Cloudy
2023-10-07,Delhi,39.4,56,1026,3.2,96.8,Stormy
2023-10-08,Ahmedabad,42.0,41,1006,9.0,69.2,Foggy
2023-10-09,Jaipur,38.0,35,1035,19.5,8.6,Rainy
2023-10-10,Hyderabad,42.7,74,1050,2.4,96.5,Stormy
2023-10-11,Delhi,42.7,47,1002,9.2,186.5,Foggy
2023-10-12,Jaipur,36.0,51,986,18.4,162.9,Stormy
2023-10-13,Pune,21.1,36,1021,9.9,97.9,Stormy
2023-10-14,Hyderabad,39.0,73,1025,6.1,69.8,Rainy
2023-10-15,Delhi,33.0,48,994,13.1,128.3,Foggy
2023-10-16,Bangalore,25.3,86,990,1.1,81.5,Rainy
2023-10-17,Bangalore,33.2,83,998,20.6,169.0,Sunny
2023-10-18,Chennai,27.0,39,996,22.1,82.7,Stormy
2023-10-19,Bangalore,44.4,30,987,13.5,105.3,Foggy
2023-10-20,Chennai,23.7,62,1034,17.4,192.7,Stormy
2023-10-21,Bangalore,17.0,20,1039,19.3,15.5,Sunny
2023-10-22,Chennai,36.4,73,1017,4.6,22.5,Stormy
2023-10-23,Delhi,42.6,94,1005,22.2,29.7,Stormy
2023-10-24,Jaipur,18.5,51,1020,2.6,36.6,Cloudy
2023-10-25,Nagpur,30.5,29,1022,8.3,58.5,Sunny
2023-10-26,Jaipur,34.0,54,1043,3.3,45.4,Cloudy
2023-10-27,Bangalore,43.9,64,986,8.9,37.5,Foggy
2023-10-28,Jaipur,18.5,56,1027,18.5,165.0,Stormy
2023-10-29,Pune,39.7,88,1004,2.2,88.5,Sunny
2023-10-30,Chennai,44.1,25,1005,9.6,107.9,Foggy
2023-10-31,Pune,21.4,94,997,10.3,149.9,Cloudy
2023-11-01,Mumbai,41.1,95,982,22.2,8.3,Sunny
2023-11-02,Kolkata,43.5,49,1017,2.5,111.5,Cloudy
2023-11-03,Jaipur,33.4,55,1038,17.3,52.3,Foggy
2023-11-04,Mumbai,40.6,27,1029,7.5,93.8,Cloudy
2023-11-05,Jaipur,44.1,99,1013,24.3,170.0,Stormy
2023-11-06,Ahmedabad,30.4,58,992,5.4,58.9,Foggy
2023-11-07,Chennai,33.5,95,1022,10.5,135.7,Stormy
2023-11-08,Chennai,33.4,56,1022,5.0,9.9,Sunny
2023-11-09,Nagpur,17.4,71,988,11.0,188.9,Sunny
2023-11-10,Jaipur,44.6,59,1049,14.7,21.8,Foggy
2023-11-11,Delhi,32.0,84,1015,20.4,58.2,Rainy
2023-11-12,Mumbai,19.6,74,1014,4.8,181.1,Stormy
2023-11-13,Delhi,34.3,22,1020,12.1,83.8,Rainy
2023-11-14,Pune,35.3,63,1024,18.2,37.4,Stormy
2023-11-15,Nagpur,36.0,68,998,16.4,151.2,Rainy
2023-11-16,Ahmedabad,38.4,98,1018,9.4,16.7,Sunny
2023-11-17,Hyderabad,31.6,40,996,1.1,170.7,Stormy
2023-11-18,Hyderabad,26.5,63,1031,19.3,77.4,Foggy
2023-11-19,Chennai,38.9,41,999,0.4,137.7,Foggy
2023-11-20,Chennai,25.4,51,1047,22.2,175.5,Foggy
2023-11-21,Jaipur,26.8,51,1045,17.6,88.5,Cloudy
2023-11-22,Chennai,27.2,32,1027,15.6,104.1,Stormy
2023-11-23,Delhi,22.9,51,1016,5.5,101.9,Stormy
2023-11-24,Kolkata,29.3,51,1032,21.7,99.2,Cloudy
2023-11-25,Nagpur,15.2,79,985,8.6,35.3,Sunny
2023-11-26,Mumbai,18.2,44,994,23.2,104.0,Foggy
2023-11-27,Ahmedabad,35.3,98,1004,16.8,17.9,Cloudy
2023-11-28,Bangalore,41.6,24,1037,9.4,184.6,Sunny
2023-11-29,Hyderabad,39.9,40,1010,21.0,188.9,Foggy
2023-11-30,Nagpur,30.9,84,1044,17.3,176.3,Stormy
2023-12-01,Nagpur,20.1,71,1008,8.6,151.7,Stormy
2023-12-02,Nagpur,32.7,94,1025,19.2,121.4,Rainy
2023-12-03,Kolkata,25.0,47,1013,7.4,103.8,Foggy
2023-12-04,Kolkata,39.1,46,1033,17.1,48.2,Rainy
2023-12-05,Kolkata,17.5,75,984,16.3,187.6,Foggy
2023-12-06,Bangalore,16.8,42,1035,1.8,108.9,Cloudy
2023-12-07,Kolkata,23.7,72,1037,14.2,189.3,Foggy
2023-12-08,Hyderabad,22.2,32,1024,3.3,47.8,Foggy
2023-12-09,Jaipur,37.9,23,1041,2.3,174.1,Sunny
2023-12-10,Ahmedabad,27.2,99,992,4.0,99.2,Foggy
2023-12-11,Delhi,23.6,87,1012,12.0,126.2,Rainy
2023-12-12,Hyderabad,16.8,95,987,9.1,26.7,Rainy
2023-12-13,Hyderabad,23.5,58,982,17.8,37.0,Rainy
2023-12-14,Chennai,39.2,69,990,13.9,34.9,Foggy
2023-12-15,Mumbai,40.0,66,1043,18.9,22.8,Cloudy
2023-12-16,Mumbai,38.2,94,1033,18.0,99.2,Cloudy
2023-12-17,Pune,32.9,45,1003,16.8,76.6,Rainy
2023-12-18,Jaipur,22.0,95,990,11.3,98.5,Stormy
2023-12-19,Mumbai,18.4,94,1013,17.3,129.1,Foggy
2023-12-20,Mumbai,24.8,46,993,12.3,193.1,Foggy
2023-12-21,Pune,21.9,34,1014,13.0,97.0,Rainy
2023-12-22,Ahmedabad,19.7,29,1012,2.7,198.3,Cloudy
2023-12-23,Hyderabad,22.0,68,982,19.0,31.9,Foggy
2023-12-24,Jaipur,43.2,47,1015,21.7,0.5,Stormy
2023-12-25,Mumbai,35.3,84,984,16.5,48.2,Stormy
2023-12-26,Pune,16.0,82,1010,11.7,183.6,Rainy
2023-12-27,Mumbai,31.8,58,1021,23.1,124.4,Foggy
2023-12-28,Nagpur,38.0,76,995,12.8,7.6,Stormy
2023-12-29,Ahmedabad,39.2,28,1030,21.2,197.2,Sunny
2023-12-30,Mumbai,32.7,60,1014,24.7,140.8,Sunny
2023-12-31,Nagpur,34.8,72,1046,9.0,118.6,Stormy
2023-01-01,Nagpur,30.2,62,985,21.6,81.8,Stormy
2023-01-02,Chennai,39.7,22,1039,12.9,199.2,Rainy
2023-01-03,Mumbai,43.7,85,992,17.0,178.2,Rainy
2023-01-04,Hyderabad,41.4,90,1037,2.8,185.7,Stormy
2023-01-05,Mumbai,24.2,99,1034,13.3,90.2,Cloudy
2023-01-06,Kolkata,39.2,87,1048,20.8,79.4,Cloudy
2023-01-07,Hyderabad,21.3,30,1028,21.1,165.2,Stormy
2023-01-08,Nagpur,19.5,56,997,3.7,189.1,Foggy
2023-01-09,Hyderabad,25.0,37,991,17.4,71.5,Rainy
2023-01-10,Chennai,42.6,93,1028,8.9,184.0,Rainy
2023-01-11,Nagpur,18.6,24,1016,4.6,99.0,Sunny
2023-01-12,Delhi,15.8,59,1019,3.1,160.9,Foggy
2023-01-13,Mumbai,20.9,71,984,10.8,94.7,Rainy
2023-01-14,Nagpur,28.4,68,1028,14.2,32.4,Rainy
2023-01-15,Nagpur,35.2,84,995,21.5,181.3,Stormy
2023-01-16,Delhi,21.7,62,1030,3.2,105.2,Foggy
2023-01-17,Delhi,43.1,97,1030,12.9,166.6,Stormy
2023-01-18,Jaipur,19.4,51,990,11.3,31.2,Rainy
2023-01-19,Bangalore,21.0,37,1044,22.5,154.4,Rainy
2023-01-20,Kolkata,17.6,80,1020,6.0,184.7,Foggy
2023-01-21,Ahmedabad,35.9,23,1039,20.7,85.0,Stormy
2023-01-22,Bangalore,24.2,42,1033,8.9,120.4,Sunny
2023-01-23,Delhi,19.9,74,1013,20.1,179.9,Cloudy
2023-01-24,Delhi,19.6,54,1005,24.2,136.1,Foggy
2023-01-25,Pune,36.6,74,1001,4.1,117.7,Stormy
2023-01-26,Jaipur,34.2,34,987,11.4,134.3,Sunny
2023-01-27,Hyderabad,42.3,54,986,1.0,59.8,Foggy
2023-01-28,Nagpur,44.9,80,999,12.4,103.1,Foggy
2023-01-29,Ahmedabad,32.6,40,1044,19.4,122.4,Rainy
2023-01-30,Chennai,35.5,34,1018,18.9,112.6,Cloudy
2023-01-31,Pune,39.5,49,1048,15.6,144.4,Rainy
2023-02-01,Bangalore,36.3,93,985,16.3,47.8,Stormy
2023-02-02,Kolkata,25.3,37,1045,0.5,55.9,Stormy
2023-02-03,Bangalore,35.8,51,1008,23.6,170.4,Rainy
2023-02-04,Kolkata,32.5,73,997,1.7,6.9,Cloudy
